"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
60000,0.8,1825,0.240501617455864,0.237289799780304,0.24361771249465,3.04316732855556e-05,0.274475524475524,15812.6104417671,2,18055,63388.2108433735,63106,63688,65748.3634538153,65516,66011,101,498
70000,0.8,1825,0.241918415959609,0.239633652089157,0.243881047233465,0.00543612874630096,0.263300788388242,18556.762,417,20205,73952.1,73643,74224,76706.626,76431,76962,45,500
80000,0.8,1825,0.248183645778614,0.246080947508329,0.249894234910176,0.00565333089688096,0.268677833051892,21757.062,495,23548,84515.418,84209,84852,87664.798,87394,87954,29,500
90000,0.8,1825,0.249253836959129,0.247955275954492,0.250285463712378,0.00372161885349802,0.26593976733817,24582.248,367,26244,95080.544,94729,95447,98623.142,98300,98941,9,500
1e+05,0.8,1825,0.250877926013432,0.249542067468251,0.251822415159919,0.00483082964248208,0.268363025700935,27491.412,529,29404,105643.7,105295,106018,109580.75,109261,109899,6,500
150000,0.8,1825,0.253553574629818,0.253170558724006,0.253963750251202,0.240016282587959,0.268825521340869,41677.072,39486,44139,158464.008,158046,158890,164371.998,163992,164795,0,500
2e+05,0.8,1825,0.256651391826456,0.256242355815019,0.257087633447031,0.241611533884433,0.272302866729885,56248.544,52990,59728,211278.822,210802,211804,219163.33,218716,219628,0,500
250000,0.8,1825,0.25739871172046,0.257067320636135,0.257741444819461,0.246539760829436,0.26974202585578,70515.45,67580,73946,264100.534,263507,264655,273954.336,273455,274467,0,500
3e+05,0.8,1825,0.258961352033557,0.258647328417754,0.259270085908137,0.248955488928487,0.267896241333171,85132.496,81872,88095,316917.908,316251,317555,328746.188,328196,329298,0,500
350000,0.8,1825,0.259541434103898,0.259229615328039,0.259890907991719,0.248164027456135,0.270140067413797,99543.896,95158,103626,369738.728,369094,370405,383537.6,382953,384170,0,500
4e+05,0.8,1825,0.260332256486647,0.260015966953142,0.260632410260733,0.247559662822946,0.271063825902801,114111.012,108546,118778,422558.464,421833,423267,438328.514,437676,438998,0,500
450000,0.8,1825,0.260648032288116,0.260343588133777,0.2609618353885,0.249532916931229,0.269870801243295,128530.814,123008,133015,475379.406,474647,476154,493120.182,492453,493819,0,500
5e+05,0.8,1825,0.261087009458227,0.260801345650149,0.261384472660117,0.251767654656101,0.271003338194309,143052.498,138015,148483,528197.732,527408,529003,547911.208,547211,548640,0,500
550000,0.8,1825,0.261177336537235,0.260900440707437,0.26148752136866,0.252552441985432,0.271114495003782,157412.33,152192,163443,581016.324,580188,581828,602703.01,601951,603488,0,500
6e+05,0.8,1825,0.261557190335446,0.261279418990359,0.26185288731923,0.251679719327261,0.271823775947181,171971.278,165567,178682,633831.808,633046,634811,657490.35,656824,658284,0,500
650000,0.8,1825,0.261853702358577,0.261589558932701,0.262100061952056,0.251641485059537,0.270443317915372,186513.06,179209,192481,686649.298,685697,687611,712279.874,711558,713147,0,500
7e+05,0.8,1825,0.262123187332503,0.261865440351336,0.262363666824384,0.253047615196267,0.269309581598576,201068.61,193982,206603,739472.902,738320,740578,767076.746,766003,768049,0,500
750000,0.8,1825,0.262287717396611,0.262061060309709,0.262514130827856,0.254732975760451,0.271531739015709,215564.492,209444,223302,792288.292,791389,793284,821862.768,820946,822775,0,500
8e+05,0.8,1825,0.2624351068965,0.262200446096159,0.262653613940797,0.254711945749041,0.270033236228059,230067.7,223335,236834,845119.378,843898,846013,876665.254,875921,877347,0,500
850000,0.8,1825,0.262542914744889,0.262324071148618,0.262776099334417,0.251149851233633,0.269696846012726,244546.456,233818,251124,897936.352,896743,899047,931453.374,930508,932407,0,500
9e+05,0.8,1825,0.262664414727842,0.262452118745186,0.262857927727137,0.255169588461008,0.269402038849724,259053.008,251636,265590,950761.962,949502,952227,986251.074,985330,987442,0,500
950000,0.8,1825,0.262746314339038,0.262535217099311,0.262933913732185,0.254583052000004,0.271066590360011,273526.334,265065,282292,1003567.984,1002564,1004647,1041028.394,1040118,1042019,0,500
1e+06,0.8,1825,0.262802224361369,0.262618413198443,0.262991844086567,0.253865626585582,0.268935462463178,287986.15,278189,294646,1056396.43,1055377,1057632,1095828.298,1094841,1096749,0,500
