"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
450000,3e-06,1825,0.230858416646858,0.230566634964758,0.231151760319061,0.221204101014724,0.239650432606856,114005.362,109237,118383,491044.766,490409,491733,493832.762,493145,494566,0,500
5e+05,3e-06,1825,0.231396241326899,0.231146777294089,0.231644665698237,0.221126244593774,0.241620514017158,126967.926,121326,132539,545605.266,544918,546334,548703.742,547981,549455,0,500
550000,3e-06,1825,0.231838825695028,0.23158099577534,0.232088369942873,0.222852948535053,0.239745604785495,139931.23,134500,144604,600161.068,599485,601027,603571.282,602898,604338,0,500
6e+05,3e-06,1825,0.232126525094098,0.231856006898734,0.232384216147426,0.222798470721241,0.240302614315564,152842.496,146621,158246,654725.768,654037,655571,658444.876,657710,659204,0,500
650000,3e-06,1825,0.232239486081834,0.231961368866967,0.23249683752752,0.223023387837203,0.241057169897297,165658.568,159106,171928,709280.218,708467,710266,713309.234,712534,714201,0,500
7e+05,3e-06,1825,0.232437746920946,0.232209040093103,0.23265655353235,0.223834858203367,0.240875142850449,178556.318,171866,185061,763850.058,762800,764647,768190.018,767134,768942,0,500
750000,3e-06,1825,0.232978698539131,0.232759874673316,0.23319296050567,0.225595830613825,0.239485727267316,191753.374,185611,197131,818401.254,817622,819249,823051.242,822282,823862,0,500
8e+05,3e-06,1825,0.233027664060614,0.23282383456827,0.233237515838845,0.225091486019979,0.240083523945391,204580.248,197631,210868,872960.028,871973,874071,877922.334,876987,878956,0,500
850000,3e-06,1825,0.233083490462999,0.232873166965872,0.233308287459701,0.226730960135334,0.240864416065633,217418.536,211496,224654,927522.034,926270,928576,932792.626,931600,933881,0,500
9e+05,3e-06,1825,0.233001936163058,0.232789783567899,0.233201802411492,0.225695551688427,0.239141970607774,230129.166,222945,236146,982089.792,980860,982965,987670.692,986477,988529,0,500
950000,3e-06,1825,0.23311912509724,0.232934657781947,0.233299321990461,0.226681267343898,0.23932318215254,243033.964,236400,249543,1036642.058,1035505,1037525,1042531.274,1041438,1043379,0,500
1e+06,3e-06,1825,0.233142499248286,0.232970059996513,0.233330490944516,0.225796723545881,0.239053314828771,255851.206,247832,262334,1091202.518,1090144,1092365,1097402.834,1096321,1098526,0,500
1100000,3e-06,1825,0.233292737773025,0.233114106752224,0.233477361569446,0.226641058069069,0.240403618719135,281616.664,273648,290234,1200317.016,1199029,1201372,1207138.494,1205977,1208129,0,500
1200000,3e-06,1825,0.233302334221978,0.233145341353589,0.233470121826099,0.227528941193985,0.240214444638504,307235.276,299553,316336,1309454.754,1308421,1310449,1316897.546,1315932,1317871,0,500
1300000,3e-06,1825,0.233584673602534,0.233427857084274,0.233756091848617,0.22686712644323,0.240622382646178,333233.676,323525,343314,1418544.886,1417107,1419956,1426607.604,1425232,1427880,0,500
1400000,3e-06,1825,0.233537397845616,0.233384185020345,0.23370395414105,0.227808305311791,0.238976095622715,358795.928,349986,367236,1527672.414,1526464,1528869,1536353.262,1535231,1537436,0,500
1500000,3e-06,1825,0.233438597970764,0.233275792522058,0.233594875209445,0.227642923255198,0.240606276717174,384262.414,374825,396081,1636795.474,1635584,1637798,1646096.338,1645005,1647139,0,500
1600000,3e-06,1825,0.23355515574816,0.233404704334208,0.233692348133979,0.228782472727521,0.239125468895529,410081.458,401780,419969,1745903.15,1744437,1746955,1755822.706,1754472,1756810,0,500
1700000,3e-06,1825,0.23374181907066,0.233594824106483,0.233881280090483,0.229151060571475,0.239283399114329,436060.298,427497,446270,1855024.132,1853691,1856592,1865563.956,1864186,1867224,0,500
1800000,3e-06,1825,0.23351609461156,0.233375147570631,0.233664559196887,0.228810611541844,0.239412351868087,461267.594,451914,472984,1964155.276,1962839,1965575,1975313.942,1974057,1976842,0,500
1900000,3e-06,1825,0.233656582517599,0.233504720200057,0.233812385379274,0.228281005538332,0.238401999419554,487185.484,475660,497039,2073270.148,2071305,2074597,2085049.316,2083171,2086282,0,500
2e+06,3e-06,1825,0.233740476525844,0.233616374102338,0.233884229172681,0.228113145826101,0.240116217036958,513011.412,500686,526608,2182391.8,2180703,2183722,2194790.774,2193138,2196104,0,500
2100000,3e-06,1825,0.233685710061181,0.233554327134986,0.233820503789643,0.229724819865164,0.239680464236444,538534.606,529215,552306,2291510.678,2290096,2293082,2304525.2,2303248,2306187,0,500
2200000,3e-06,1825,0.233520636068762,0.23339429698817,0.233645627487766,0.229455115647419,0.238587669336346,563782.224,554018,576105,2400635.576,2399030,2402144,2414271.604,2412580,2415736,0,500
2300000,3e-06,1825,0.23353509801608,0.233416902347702,0.233665012176532,0.229001491552819,0.238030217684262,589442.938,578049,600903,2509747.77,2508193,2511213,2524001.594,2522501,2525355,0,500
2400000,3e-06,1825,0.233632332565646,0.233506476132187,0.233763050067253,0.229000910354735,0.239126589149935,615332.786,603220,629924,2618889.212,2617244,2620413,2633765.604,2632151,2635476,0,500
2500000,3e-06,1825,0.233579372793723,0.233446955696579,0.233707402677083,0.229490963342698,0.239125775246216,640825.674,629594,655999,2728007.046,2726418,2729378,2743502.714,2742008,2744875,0,500
10000,2e-05,1825,0.0304709711185111,0.0268129048432382,0.0339749202497836,9.03342366757001e-05,0.154049616928128,333.88679245283,1,1689,10581.9874213836,10456,10705,10958.2421383648,10873,11070,318,318
20000,2e-05,1825,0.04133813055712,0.0367768749468836,0.0459947813666511,4.53165360039879e-05,0.219067215363512,905.945330296128,1,4791,21166.4897494305,20994,21338,21917.8861047836,21769,22076,439,439
30000,2e-05,1825,0.0713897012980042,0.0657613812942293,0.0769964251454937,3.03563839475442e-05,0.234904628842182,2347.125,1,7734,31746.1721311475,31523,31938,32875.4979508197,32700,33054,479,488
40000,2e-05,1825,0.115084242510914,0.108831418316445,0.121703337969312,2.28055371844284e-05,0.238635067630757,5044.24242424242,1,10462,42324.1414141414,42090,42549,43833.0787878788,43618,44039,433,495
50000,2e-05,1825,0.145765123840747,0.139811070765269,0.151744770788454,1.82229025439172e-05,0.227738851178746,7986.80120481928,1,12496,52904.0963855422,52668,53142,54794.1485943775,54559,55028,344,498
60000,2e-05,1825,0.175213666213101,0.169471528995745,0.180799605907072,3.04302842188546e-05,0.234003711929899,11520.8413654618,2,15382,63480.9939759036,63203,63787,65752.3493975904,65522,66015,236,498
70000,2e-05,1825,0.189762631740424,0.184982655734461,0.194235478450333,0.00169250999231861,0.22850430696946,14557.018,130,17508,74059.482,73759,74342,76711.584,76437,76975,137,500
80000,2e-05,1825,0.204807996863924,0.20138356809884,0.208089174333965,0.00167808219178082,0.2332314290929,17955.916,147,20446,84636.542,84334,85014,87670.5,87400,87958,81,500
90000,2e-05,1825,0.208619562746491,0.205458578451265,0.211128982261878,3.0361299463617e-05,0.232836820423321,20575.902,3,22947,95216.556,94827,95554,98629.478,98305,98948,40,500
1e+05,2e-05,1825,0.21282944400855,0.210521206378665,0.214855589943629,0.00239692318909263,0.235496158800048,23323.412,263,25780,105794.44,105458,106173,109587.686,109267,109905,36,500
150000,2e-05,1825,0.219846259985549,0.219409855248672,0.22030005449343,0.17294948794246,0.236681281126671,36138.896,28422,38922,158689.47,158242,159117,164382.586,164002,164806,4,500
2e+05,2e-05,1825,0.223342638840822,0.223013703768915,0.223680397534451,0.210913949808235,0.236761845625633,48951.652,46249,51857,211580.724,211104,212092,219177.48,218728,219652,0,500
250000,2e-05,1825,0.22457730328103,0.224256978922059,0.224897944782151,0.214614524649817,0.235396855492678,61527.658,58743,64559,264473.766,263926,265025,273971.09,273463,274485,0,500
3e+05,2e-05,1825,0.225485396694038,0.225177530306117,0.225793242980208,0.21616638574671,0.235560706019047,74132.188,71050,77446,317369.594,316756,317994,328767.062,328222,329327,0,500
350000,2e-05,1825,0.226185164091442,0.225887831397881,0.226495655868319,0.216274352342414,0.236066949532437,86755.972,82949,90577,370264.134,369590,370957,383561.894,382980,384195,0,500
4e+05,2e-05,1825,0.227056848606583,0.226758326936446,0.227341806837103,0.217244640964569,0.236917994487945,99531.728,95315,103844,423158.162,422458,423868,438355.932,437715,439022,0,500
450000,2e-05,1825,0.227818090175703,0.227502613147983,0.228132811258548,0.218658460989948,0.236708073149426,112348.694,107939,116793,476051.1,475296,476806,493151.25,492480,493844,0,500
5e+05,2e-05,1825,0.227922880417878,0.22764118985828,0.228210526566015,0.217889619569679,0.236252014315096,124889.422,119446,129455,528946.606,528157,529710,547945.954,547253,548679,0,500
550000,2e-05,1825,0.228313054927548,0.228054120486104,0.228552412350177,0.218027760541274,0.23612171465369,137613.6,131411,142269,581839.35,580999,582681,602740.998,602001,603529,0,500
6e+05,2e-05,1825,0.228786216781673,0.228537551118167,0.229032672154978,0.219614793628577,0.236082318997522,150434.668,144355,155222,634731.878,633927,635552,657533.65,656880,658264,0,500
650000,2e-05,1825,0.229240553459132,0.229015992073703,0.229472970276473,0.219988241550544,0.239778698229839,163293.462,156781,170715,687620.146,686717,688538,712323.69,711511,713184,0,500
7e+05,2e-05,1825,0.229046516296897,0.228805705507892,0.229310692326808,0.220858991754514,0.237027578164192,175707.446,169284,181908,740519.58,739375,741480,767125.652,766085,768083,0,500
750000,2e-05,1825,0.229386237636693,0.22916882916061,0.229599792352378,0.221585426545619,0.236193070608513,188535.78,182104,194043,793407.39,792358,794410,821914.286,820826,822832,0,500
8e+05,2e-05,1825,0.229589380303576,0.229386900367486,0.229789957508695,0.221710081962724,0.237092813582442,201284.704,194328,207878,846306.848,845443,847303,876716.056,875949,877574,0,500
850000,2e-05,1825,0.229761248516367,0.229579643452998,0.22995024238411,0.223923017537304,0.23709628394888,214025.714,208546,220753,899204.052,898159,900099,931513.578,930473,932515,0,500
