"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2e+06,440,1825,0.686253362051891,0.685733115652167,0.686800596066031,0.667859394660508,0.696385229837896,1503905.042,1463877,1525826,2110914.968,2109305,2112470,2191471.992,2190057,2193186,0,500
2100000,440,1825,0.686352160909735,0.68584328459491,0.686840683069333,0.666196856325799,0.696043604638533,1579325.272,1532667,1602007,2216457.008,2214477,2218111,2301042.326,2299750,2302372,0,500
2200000,440,1825,0.685994453420215,0.685404794317262,0.68653759284015,0.662515140814241,0.69730276234525,1653670.844,1596580,1681471,2322003.388,2320498,2323838,2410618.164,2409270,2412527,0,500
2300000,440,1825,0.685238001707183,0.684644225923465,0.685819573421349,0.663571417516967,0.69595188745049,1726927.102,1672194,1753052,2427538.638,2425501,2429650,2520185.988,2518582,2521573,0,500
2400000,440,1825,0.685860014549443,0.685336464745928,0.686382721000994,0.660550036599393,0.695486363511939,1803649.562,1737131,1829335,2533069.544,2531254,2535112,2629763.532,2628012,2631481,0,500
2500000,440,1825,0.685501890933429,0.684951082426704,0.686017603991248,0.662292460974359,0.695458366810993,1877819.55,1814380,1905131,2638615.968,2637109,2640493,2739335.214,2738010,2740776,0,500
10000,4400,1825,0.224953428791339,0.211596202845468,0.238704341499034,9.03342366757001e-05,0.398022137543096,2464.88364779874,1,4387,10564.2767295597,10458,10690,10957.320754717,10871,11070,318,318
20000,4400,1825,0.36910286481187,0.3572884159213,0.380436253759886,4.53802868034126e-05,0.493482818339258,8089.44419134396,1,10828,21125.1640091116,20938,21315,21915.7107061503,21768,22072,360,439
30000,4400,1825,0.418111603402766,0.410524856501774,0.425824755344609,3.03573054855651e-05,0.479721512829867,13744.1598360656,1,15779,31680.9590163934,31449,31864,32872.2991803279,32698,33052,192,488
40000,4400,1825,0.448305883040752,0.441435015449912,0.454013983977019,2.28195883346264e-05,0.484107411974243,19648.6363636364,1,21201,42239.0383838384,41988,42474,43828.9595959596,43610,44033,75,495
50000,4400,1825,0.456116318167048,0.45307437557384,0.458290198010672,3.64803735590252e-05,0.476485148514851,24990.062248996,2,26180,52799.5080321285,52581,53023,54789,54549,55020,16,498
60000,4400,1825,0.46714134263769,0.464864327445337,0.468535070521254,3.04316732855556e-05,0.487908506685347,30712.9337349398,2,32039,63356.265060241,63078,63646,65746.5381526104,65511,66010,9,498
70000,4400,1825,0.465431736221863,0.463142266174143,0.466727373278901,3.90854016025015e-05,0.48299860548163,35700.524,3,37060,73913.176,73600,74208,76704.178,76428,76961,3,500
80000,4400,1825,0.469038249378262,0.466176015004635,0.471081223372024,3.41993365328713e-05,0.48968120040135,41116.844,3,42947,84468.51,84163,84813,87661.806,87390,87952,3,500
90000,4400,1825,0.471245993518887,0.470799348084689,0.471726204481341,0.454778261046299,0.488258633952792,46474.022,44752,48238,95023.13,94668,95361,98619.434,98298,98932,0,500
1e+05,4400,1825,0.472482647403025,0.472053996504841,0.472934501469047,0.456325672773793,0.485436008637262,51773.13,49938,53280,105579.008,105256,105939,109576.77,109256,109895,0,500
150000,4400,1825,0.475662069331471,0.475276182089866,0.476027765441701,0.463013231731811,0.486554115347852,78182.314,76074,79971,158354.458,157947,158789,164365.354,163988,164787,0,500
2e+05,4400,1825,0.477759958425523,0.47742791749256,0.478088348911178,0.463593994641007,0.490020260650531,104703.868,101560,107385,211148.982,210660,211661,219155.828,218708,219619,0,500
250000,4400,1825,0.478626306644939,0.478282506825354,0.478957580148916,0.468130223730793,0.487447958512892,131117.968,128263,133473,263964.656,263394,264550,273946.524,273444,274461,0,500
3e+05,4400,1825,0.479162890509891,0.478884843581041,0.479421103953282,0.470971628875014,0.488345687280254,157519.012,154782,160424,316776.068,316177,317393,328737.966,328188,329291,0,500
350000,4400,1825,0.47968667538305,0.479407436147115,0.479962512370531,0.469721750517137,0.488806923337591,183973.308,180073,187521,369578.58,368904,370228,383527.988,382942,384167,0,500
4e+05,4400,1825,0.480354567974714,0.480108422306637,0.480623332376586,0.47178408293141,0.490729650744982,210547.816,206983,215116,422375.692,421688,423100,438317.662,437660,438994,0,500
450000,4400,1825,0.480452241402446,0.480212161913373,0.480701065172549,0.470238155566321,0.48999807206421,236914.912,231984,241449,475172.282,474417,475910,493108.202,492443,493810,0,500
5e+05,4400,1825,0.480757757043195,0.480533023870085,0.480976234315246,0.473757420428906,0.488374087278274,263406.146,259530,267671,527966.908,527183,528727,547897.868,547190,548635,0,500
550000,4400,1825,0.481136235354701,0.480925465028468,0.481347539728283,0.473958333333333,0.488374526261945,289975.11,285753,294063,580763.65,579931,581547,602688.202,601939,603483,0,500
6e+05,4400,1825,0.481395498547818,0.481192470101816,0.481615323537862,0.474277853358047,0.489296719852085,316505.592,311574,321751,633557.342,632648,634372,657475.224,656656,658110,0,500
650000,4400,1825,0.481425100872993,0.48122882089731,0.481648254300362,0.475277626427452,0.488081750808285,342900.118,338449,347666,686350.764,685174,687276,712260.548,711399,713077,0,500
7e+05,4400,1825,0.481570193536597,0.481379632447993,0.481765963665591,0.475360160845115,0.489354216616283,369392.81,364577,375550,739154.67,738061,740068,767059.21,766071,767992,0,500
750000,4400,1825,0.481498787861466,0.48130134222779,0.481687823339294,0.473234840336216,0.491250705294083,395715.762,388929,403981,791942.62,790991,793061,821841.504,820749,822634,0,500
8e+05,4400,1825,0.481728172735327,0.481530872117496,0.48192070177672,0.474673931139548,0.488850063749763,422304.118,416271,428656,844751.212,843909,845668,876644.016,875877,877573,0,500
850000,4400,1825,0.481659860164551,0.481475952207833,0.481858954956403,0.474077485229459,0.490329110771932,448633.502,441643,456821,897546.422,896490,898571,931432.314,930493,932382,0,500
