"initpop","b","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
50000,5e-05,1825,0.144626325862133,0.138350632829481,0.150969780536083,1.8265507415796e-05,0.226371381140887,7908.35140562249,1,12409,52728.2751004016,52476,52960,54684.375502008,54460,54919,341,498
60000,5e-05,1825,0.177910945940988,0.17216348852307,0.183547215707015,3.04975678189664e-05,0.239476972781859,11674.718875502,2,15714,63270.6927710843,63014,63576,65620.8313253012,65373,65886,224,498
70000,5e-05,1825,0.19015480222833,0.185784949916935,0.19443201857211,0.00181573550350737,0.229640757674722,14557.954,139,17579,73812.964,73529,74077,76557.872,76286,76827,144,500
80000,5e-05,1825,0.204008190973939,0.200534011379403,0.206938615125147,0.00298671427100141,0.232744122189806,17849.786,261,20352,84356.284,84053,84667,87495.538,87219,87780,96,500
90000,5e-05,1825,0.208352369574998,0.205438830066476,0.210805288725785,3.04271978579253e-05,0.232764837933101,20508.374,3,22915,94900.228,94528,95253,98431.654,98117,98738,49,500
1e+05,5e-05,1825,0.214211979176566,0.212162322184274,0.215977621243207,0.00329028543226125,0.232291923818928,23427.922,360,25406,105442.86,105080,105804,109368.362,109051,109688,26,500
150000,5e-05,1825,0.220201162328925,0.219825215516864,0.220585704633806,0.208525317535776,0.234313982320294,36124.98,34214,38461,158163.22,157738,158645,164054.572,163656,164465,0,500
2e+05,5e-05,1825,0.222815025375228,0.222449290059539,0.223186270797578,0.199694431610775,0.235681751664594,48738.362,43655,51537,210878.532,210406,211379,218739.074,218278,219199,1,500
250000,5e-05,1825,0.224396977761321,0.224091225619192,0.224720686341997,0.209096695835406,0.237081755483599,61355.724,57157,64798,263599.916,263070,264162,273425.072,272956,273934,0,500
3e+05,5e-05,1825,0.225609638500925,0.225299161638138,0.225927071401192,0.214664900178172,0.235737817830509,74024.632,70482,77351,316316.464,315686,316946,328109.174,327573,328686,0,500
350000,5e-05,1825,0.226298952003341,0.226000775273692,0.226602793747203,0.217184687450199,0.235405910570275,86625.766,83132,90051,369033.536,368343,369709,382793.45,382206,383400,0,500
4e+05,5e-05,1825,0.227070370031469,0.226770597698513,0.227366363016225,0.21474558148886,0.235685404982392,99338.618,93995,103069,421753.426,421047,422488,437479.394,436868,438122,0,500
450000,5e-05,1825,0.22781654376311,0.227541131634742,0.228111010238046,0.218137598517588,0.237548321010036,112123.314,107361,116879,474472.36,473698,475236,492165.052,491489,492862,0,500
