"initpop","xi","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
250000,0,1825,0.223955177355685,0.223596705748521,0.224320265651632,0.21125110408713,0.234835010317562,61353.738,57879,64299,264119.924,263585,264717,273955.402,273456,274467,0,500
3e+05,0,1825,0.225309815680315,0.224997337365711,0.225623929684315,0.215491788573635,0.237220612582781,74070.078,70869,77945,316943.78,316316,317600,328747.68,328198,329299,0,500
350000,0,1825,0.226684116275101,0.226354424736744,0.226988234537996,0.217128426714758,0.236234629505617,86942.232,83315,90660,369764.218,369082,370417,383539.09,382954,384170,0,500
4e+05,0,1825,0.226872598272978,0.226596674698883,0.227158883012097,0.217187717389569,0.236922767929485,99445.07,95224,103807,422587.942,421890,423308,438330.108,437677,438998,0,500
450000,0,1825,0.227515539969783,0.227203751833897,0.2277970518255,0.218457486419964,0.236281182814219,112192.918,107660,116605,475412.986,474680,476168,493122.126,492454,493820,0,500
5e+05,0,1825,0.228029653233537,0.227746286371865,0.228312454156168,0.217835283207956,0.236897431498724,124940.548,119333,129807,528237.086,527449,529043,547913.532,547212,548643,0,500
550000,0,1825,0.22816320855701,0.227907061222464,0.228401603052149,0.218851295839869,0.235984036730117,137515.14,131859,142271,581058.196,580233,581939,602705.376,601958,603494,0,500
6e+05,0,1825,0.228677452917481,0.228449500612319,0.228915997398376,0.21966649684822,0.236049532083834,150353.434,144445,155301,633876.394,633069,634775,657491.49,656557,658236,0,500
650000,0,1825,0.228831713670082,0.228601609992293,0.229063858986533,0.221397893093373,0.236266982518233,162992.598,157686,168357,686696.616,685600,687650,712281.642,711324,713163,0,500
7e+05,0,1825,0.229046183232411,0.228799472588921,0.229271232938273,0.219992387130078,0.236389370833714,175696.714,168761,181209,739525.866,738346,740628,767080.214,766027,768016,0,500
750000,0,1825,0.229277853664723,0.229076803264065,0.229477404071981,0.220838859618169,0.237676771855706,188435.726,181492,195328,792343.58,791425,793281,821866.318,820964,822735,0,500
8e+05,0,1825,0.229528568413239,0.229330702181102,0.229739006633719,0.222073984371169,0.236698888285716,201220.222,194752,207548,845176.094,843978,846027,876667.48,875928,877365,0,500
850000,0,1825,0.229727112228464,0.229536887930115,0.229904574687065,0.223390032019091,0.237418580070807,213980.87,208187,221031,897996.228,896666,899148,931456.992,930413,932267,0,500
9e+05,0,1825,0.229636650741161,0.229450015190575,0.229822975166781,0.222917376007264,0.236910378793718,226480.596,219982,233587,950828.352,949541,952373,986256.154,985255,987538,0,500
950000,0,1825,0.229801818414952,0.229585644674154,0.229992469049803,0.221213000357364,0.236714711357258,239230.822,230273,246447,1003633.382,1002803,1004686,1041031.246,1040121,1041953,0,500
1e+06,0,1825,0.229687147117977,0.229512654361547,0.229865759916554,0.223910158467641,0.236243724955718,251698.952,245320,258878,1056467.34,1055464,1057687,1095833.638,1094922,1096794,0,500
1100000,0,1825,0.229658823872136,0.229492756924196,0.229819744929897,0.224047166077727,0.235615472070771,276830.26,270038,283919,1162096,1160875,1163146,1205397.886,1204336,1206284,0,500
1200000,0,1825,0.229889749233812,0.229715627393095,0.230074095982138,0.223957263826208,0.235676938734219,302301.922,294472,309844,1267746.268,1266473,1269079,1314986.658,1314145,1316046,0,500
1300000,0,1825,0.229894453234072,0.229730088558733,0.230047974621744,0.223923727147631,0.234971668633586,327497.916,318948,334692,1373380.752,1371987,1374685,1424557.95,1423243,1425700,0,500
1400000,0,1825,0.23006900033615,0.229912117112486,0.230233531680197,0.223923406318171,0.235478173594546,352957.494,343666,361313,1479023.198,1477676,1480363,1534137.664,1532982,1535159,0,500
1500000,0,1825,0.230076608033127,0.229913800461266,0.230239152756335,0.224721383705562,0.238240619509085,378181.856,369466,391578,1584662.74,1583288,1586180,1643721.652,1642353,1645298,0,500
1600000,0,1825,0.230011346073173,0.229855744011373,0.230160922912772,0.224650557010301,0.236465104393636,403276.648,393958,414564,1690297.478,1689020,1691703,1753290.262,1752202,1754503,0,500
1700000,0,1825,0.230115327254298,0.229964054048982,0.230250148896959,0.225644318412426,0.237438166025664,428676.184,420300,442216,1795924.518,1794407,1797547,1862875.246,1861541,1864214,0,500
1800000,0,1825,0.230128719758537,0.229988153786549,0.230258194647771,0.225504768355075,0.235227738763369,453917.044,444828,464018,1901563.212,1899840,1902977,1972448.534,1970899,1973810,0,500
1900000,0,1825,0.230188262102269,0.230048267254325,0.230337848062688,0.224304519530323,0.236435698346722,479261.798,466989,492270,2007226.984,2005455,2008758,2082042.736,2080539,2083382,0,500
2e+06,0,1825,0.230257965330019,0.230121237300709,0.230405830921277,0.22597154832788,0.236165749113245,504641.912,495345,517604,2112882.008,2111242,2114413,2191637.28,2190392,2192911,0,500
2100000,0,1825,0.23011268322986,0.229962773757592,0.230255997835468,0.22403097911474,0.23601078031224,529539.818,515474,543028,2218533.256,2217147,2220080,2301219.632,2299963,2302716,0,500
2200000,0,1825,0.230116118964472,0.22999676527715,0.230245851045018,0.224870720802564,0.235855255243795,554763.494,542090,568589,2324163.37,2322724,2325687,2410798.414,2409380,2412119,0,500
2300000,0,1825,0.230171647846096,0.230036063744524,0.230302309117087,0.225822973025511,0.236255457709741,580117.732,569227,595540,2429798.548,2428234,2431511,2520370.206,2518959,2522021,0,500
2400000,0,1825,0.230123766446295,0.229994548473941,0.230243523326136,0.226000199267881,0.234544189336152,605215.3,594296,616809,2535456.208,2533874,2536904,2629955.694,2628500,2631642,0,500
2500000,0,1825,0.230137880665697,0.230007881578435,0.230253157017452,0.226545523556483,0.234847660639587,630472.298,620737,643267,2641099.194,2639278,2643032,2739541.65,2737988,2741652,0,500
10000,1e-05,1825,0.0499064068406146,0.0443367087661603,0.0553672633767089,9.07441016333938e-05,0.26405264601042,546.798742138365,1,2889,10567.2452830189,10452,10687,10957.5094339623,10873,11069,318,318
20000,1e-05,1825,0.129456291633854,0.120722462273167,0.138064213314892,4.53988287102193e-05,0.323905109489051,2837.20273348519,1,7100,21134.4510250569,20961,21314,21916.3462414579,21767,22075,431,439
